"id","type","title","author","editor","year","month","journal","booktitle","series","howpublished","volume","number","pages","chapter","edition","publisher","organization","institution","school","address","type_of_work","note","isbn","issn","doi","url","attachments","keywords","abstract","type_name","journal_abbreviation","pmid","info_url"
"9153","article","Proposal for a new term ‘echeme’ to replace ‘chirp’ in animal acoustics","W.B. Broughton","","1976","","Physiological Entomology","","","","1","2","103 - 106","","","","","","","","","","","0307-6962","10.1111/j.1365-3032.1976.tb00896.x","","https://bio.acousti.ca/sites/default/files/j.1365-3032.1976.tb00896.x.pdf","","<div class=""para"">
	<p>The term &lsquo;chirp&rsquo; as defined by Broughton (1952) and varied by him (1963a, b) is shown to be both inadequate and potentially misleading, particularly in the light of the principles of measurement of the time-parameters of insect song, which are reviewed. It is important to include, in the measured duration of a given element, not only the durations of its constituent sub-elements plus the intervals between them, but also an estimate of the interval that would have followed the last sub-element, had the emission been prolonged further.</p>
</div>
<div class=""para"">
	<p>&lsquo;Chirp&rsquo; should be totally restricted to initial, empirical descriptions of sounds that appear undivided to the human ear (or ultrasonics of corresponding length). For a first-order assemblage of syllables, the term &lsquo;echeme&rsquo; with a highly relevant etymology, is proposed.</p>
</div>
<div class=""para"">
	<p>In early insect-acoustics studies, Broughton (e.g. 1963a), seeking mainly to follow the admirable German terminology of Faber (e.g. 1953) and Jacobs (e.g. 1953), and to combine it with accepted physical terms, proposed certain English equivalents, many of which (such as &lsquo;pulse&rsquo;, &lsquo;syllable&rsquo;, &lsquo;sequence&rsquo;) have proved adequate in the years since then.</p>
</div>
<div class=""para"">
	<p>The term &lsquo;chirp&rsquo;, however, had been rather loosely and inappropriately used in still earlier studies (Broughton, 1952, 1953; Chavasse <em>et al.</em>, 1954) as the equivalent of Jacobs&#39; <em>Silbe</em> (syllable = sound or ultrasound corresponding to one stroke of the singing apparatus). This was in direct conflict with the dictionary usage of &lsquo;chirp&rsquo; as a sound that appears unitary and undivided to the unaided human ear (M. Duijm, personal communication in 1962).</p>
</div>
<div class=""para"">
	<p>This is why, in the 1963 revision, Broughton abandoned the use of chirp as equivalent of <em>Silbe</em>, in favour of the direct translation, syllable; and proposed restricting &lsquo;chirp&rsquo; to usage as a term for the first-stage description of a unitary-sounding element of an animal emission, regardless of its composition in terms of physical units (pulses) or physiological units (syllables). Thus, the song of <em>Chorthippus brunneus</em> (Thunberg)(Orth., Acrididae) sounds unitary to the human ear, but consists of a rapid series of sounds each corresponding to one stroke of the apparatus: it is therefore, according to the 1963 system, a &lsquo;polysyllabic chirp&rsquo; (Fig. 1)-a chirp that happens to be a first-order assemblage of syllables. By contrast, the song of <em>Chorthippus parallelus</em> (Zetterstedt) is a clear series of unitary sounds each visibly produced by one movement, and is therefore a &lsquo;sequence&rsquo; of &lsquo;monosyllabic chirps&rsquo; (Fig. 2).</p>
</div>
<p>&nbsp;</p>
","Journal Article","Physiol Entomol","","https://bio.acousti.ca/node/9153"
"11151","article","The songs of the western European bush-crickets of the genus Platycleis in relation to their taxonomy (Orthoptera: Tettigoniidae)","D. R. Ragge","","1990","","Bulletin of the British Museum (Natural History) Entomology","","","","59","1","1-35","","","","","","","","",""," 565 06039 2","0524 - 6431","","","https://bio.acousti.ca/sites/default/files/Ragge1990.pdf","","<p>The calling songs of 1 1 species of the decticine genus Platycleis s.l. (including Sepiana, Tessellana and Montana) are described and fully illustrated with oscillograms at three or four different speeds. For each species a list is provided of references to any past work published on the songs, classified according to the kind of information given. Notes on recognition, using both morphology and song, are given for each species, and two identification keys are provided, one based on morphology and the other on song. The value of the song as a taxonomic character is discussed.</p>
","Journal Article","","","https://bio.acousti.ca/node/11151"
"11152","article","The songs and taxonomy of the grasshoppers of the Chorthippus biguttulus group in the Iberian Peninsula (Orthoptera: Acrididae)","D. R. Ragge; W. J. Reynolds","","1988","","Journal of Natural History","","","","22","","897-929","","","","","","","","","","","","10.1080/00222938800770611","","","acoustics; Acrididae; Chorthippus; grasshoppers; Iberia; North Africa; Orthoptera; song; taxonomy","<p>The <em>Chorthippus biguttulus</em> group includes a number of common European species that are difficult to distinguish morphologically but are easily recognized in the field by the distinctive calling songs of the males. These song-patterns have not previously been studied in Spain and as a result the Iberian members of the group have been misidentified in almost all the extensive Spanish literature on the ecology and cytogenetics of these insects. In this study the male calling songs of all six members of the group known from the Iberian Peninsula and North Africa are fully described and illustrated with oscillograms at several different speeds. The songs of the three species known only from Iberia or North Africa, jacobsi, yersini and marocanus, are fully described for the first time (marocanus is here raised in rank from subspecies). Notes on recognition, using both morphology and song, are given for each species, and two identification keys are provided, one based on morphology and the other on song. It is shown that the three species biguttulus, brunneus and mollis, previously believed to be widespread in Iberia, are absent from most of the peninsula.</p>
","Journal Article","","","https://bio.acousti.ca/node/11152"
"11153","article","A putative hybrid in nature between Chorthippus brunneus and C. biguttulus (Orthoptera : Acrididae)","D. R. Ragge","","1976","","Systematic Entomology","","","","1","1","71-74","","","","","","","","","","","","10.1111/j.1365-3113.1976.tb00033.x","","","","<p>The characteristics of the song and morphology of a probable natural hybrid between the two grass- hoppers Chorthippus brunneus (Thunberg) and C. bigurruius (L.) are described and compared with those of the parent species. The status of C. eisentrauti (Ramme) is briefly discussed.</p>
","Journal Article","","","https://bio.acousti.ca/node/11153"
"11154","misc","Acoustic Laboratory","D. R. Ragge","","1980","","","","","","","","","","","British Museum (Natural History)","","","","London, UK","","","","","","","https://bio.acousti.ca/sites/default/files/20140710170131.pdf","","","Manuscript","","","https://bio.acousti.ca/node/11154"
"11166","techreport","Insect Sounds in Taxonomy","BMNH","","1974","","","","British Museum (Natural History) Reports","","","","49-50","","","","","British Museum (Natural History)","","London, UK","","","","","","","https://bio.acousti.ca/sites/default/files/BMNH_Annual_Report_1972-1974.pdf","","","Report","","","https://bio.acousti.ca/node/11166"
"11172","article","Wing stridulation in a Jurassic katydid (Insecta, Orthoptera) produced low-pitched musical calls to attract females","Gu, J.-J.; Fernando Montealegre-Zapata; Daniel Robert; Engel, M. S.; Qiao, G.-X.; Ren, D.","","2012","","Proceedings of the National Academy of Sciences","","","","109","10","3868 - 3873","","","","","","","","","","","0027-8424","10.1073/pnas.1118372109","http://www.pnas.org/cgi/doi/10.1073/pnas.1118372109","","biological asymmetry; biomechanics; bushcricket; call evolution; Tettigoniidae","<p>Behaviors are challenging to reconstruct for extinct species, particularly the nature and origins of acoustic communication. Here we unravel the song of Archaboilus musicus Gu, Engel and Ren sp. nov., a 165 million year old stridulating katydid. From the exceptionally preserved morphology of its stridulatory apparatus in the forewings and phylogenetic comparison with extant species, we reveal that A. musicus radiated pure-tone (musical) songs using a resonant mechanism tuned at a frequency of 6.4 kHz. Contrary to previous scenarios, musical songs were an early innovation, preceding the broad-bandwidth songs of extant katydids. Providing an accurate insight into paleoacoustic ecology, the low-frequency musical song of A. musicus was well-adapted to communication in the lightly cluttered environment of the mid-Jurassic forest produced by coniferous trees and giant ferns, suggesting that reptilian, amphibian, and mammalian insectivores could have also heard A. musicus&#39; song.</p>
","Journal Article","Proceedings of the National Academy of Sciences","","https://bio.acousti.ca/node/11172"
"11173","article","Panoploscelis specularis (Orthoptera: Tettigoniidae: Pseudophyllinae): extraordinary female sound generator, male description, male protest and calling signals","Fernando Montealegre-Zapata; Guerra, Patrick A.; Glenn K. Morris","","2003","","Journal of Orthoptera Research","","","","12","2","173 - 181","","","","","","","","","","","1082-6467","10.1665/1082-6467(2003)012[0173:PSOTPE]2.0.CO;2","http://www.bioone.org/doi/abs/10.1665/1082-6467%282003%29012%5B0173%3APSOTPE%5D2.0.CO%3B2","","acoustics; Colombia; defense; Ecuador; katydid; stridulation","<p>Females of Panoploscelis specularis present a dramatic modification of their forewings for stridulation. The female generator is illustrated and its distinct form contrasted with that of males. The physical form of the signals that females might produce is inferred; male calling and protest signals are characterized. The male of P. specularis is described for the first time.</p>
","Journal Article","Journal of Orthoptera Research","","https://bio.acousti.ca/node/11173"
"11174","article","Sound generation in Mantis religiosa (Mantodea: Mantidae): stridulatory structures and acoustic signal","Hill, Stephanie A.","","2007","","Journal of Orthoptera Research","","","","16","1","35 - 49","","","","","","","","","","","1082-6467","10.1665/1082-6467(2007)16[35:SGIMRM]2.0.CO;2","http://www.bioone.org/doi/abs/10.1665/1082-6467%282007%2916%5B35%3ASGIMRM%5D2.0.CO%3B2","","acoustics; defense; display; disturbance; mantid; stridulation","<p>Several species of mantids perform defensive displays during close-range encounters with predators. In adult Mantis religiosa, this display entails both visual and acoustic components, the latter being abdominoalary stridulation. Stridulatory modifications of the abdomen and hindwings and acoustic properties of the defensive sounds of M. religiosa are characterized here for the first time. Defensive sounds are generated via an abdominoalary mechanism involving contact between teeth found on the longitudinal veins of the metathoracic wings and pegs located on the abdominal pleura. Defensive stridulation in M. religiosa is highly variable in both spectral and time domains. Inter-individual variability may be stochastically greater than intra-individual variability for at least one acoustic parameter (peak frequency). The loudest portion of a sound emission (syllable), or down-pulse, has an average duration of 195 ms and features an abrupt rise to maximum amplitude. Inter-syllabic intervals are irregular and rate of syllable production depends on a mantid&#39;s sex. The acoustic output of M. religiosa is nonresonant, broadband, and of relatively low intensity. A minor ultrasonic component may be present in the spectra of these mantids (particularly in males). The modal peak frequency range (4 kHz interval) is 8-12 kHz (mean range &sim;7.4-9.4 kHz). Acoustic parameters which appear to vary between the sexes and/or among females at different reproductive stages, may be related to the sexual size dimorphism of this species and morphological constraints associated with egg-bearing. The acoustic output of M. religiosa is considered with reference to its intended receivers and plausible mechanisms of predator deterrence.</p>
","Journal Article","Journal of Orthoptera Research","","https://bio.acousti.ca/node/11174"
"11175","article","Ultrasonic reverse stridulation in the spider-like katydid <i>Arachnoscelis</i>               (Orthoptera: Listrosceledinae)","Benedict D. Chivers; Jonsson, Thorin; Cadena-Castaneda, Oscar J.; Fernando Montealegre-Zapata","","2014","","Bioacoustics","","","","23","1","67 - 77","","","","","","","","","","","0952-4622","10.1080/09524622.2013.816639","http://www.tandfonline.com/doi/abs/10.1080/09524622.2013.816639","","biomechanics; Colombia; elastic energy; stridulation; ultrasound","<p>This paper illustrates the biomechanics of sound production in the neotropical predaceous katydid Arachnoscelis arachnoides (Insecta: Orthoptera: Tettigoniidae). Described and previously known from only one male specimen, this genus of predaceous katydids resembles spiders in their general body appearance. To call distant females, male katydids produce songs by stridulation where one forewing possessing a sclerotized file rubs against a row of teeth (scraper) on the other wing. In most katydid species, the songs are produced during the wing-closing phase of the stridulation. Morphological comparative studies of the stridulatory apparatus of the type specimen of Arachnoscelis arachnoides and males of other closely related species suggest that this insect sings with a frequency of ca. 80 kHz to attract conspecific females. We found an abundant population of A. arachnoides in Central Northeast of Colombia and undertook a complete analysis of the biomechanics of stridulation in this species. Using ultrasound-sensitive equipment and high-speed video, we determined that male A. arachnoides sing at ca. 74 kHz and use elastic energy and wing deformation to reach such ultrasonic frequencies. In contrast to most katydids, males of this species produce their calls during the opening phase of the wing; this form of stridulation is discussed.</p>
","Journal Article","Bioacoustics","","https://bio.acousti.ca/node/11175"
"11176","article","True Katydids (Pseudophyllinae) from Guadeloupe: Acoustic Signals and Functional Considerations of Song Production","Stumpner, Andreas; Dann, Angela; Schink, Matthias; Gubert, Silvia; Hugel, Sylvain","","2013","","Journal of Insect Science","","","","13","157","1 - 16","","","","","","","","","","","1536-2442","10.1673/031.013.15701","http://www.bioone.org/doi/abs/10.1673/031.013.15701","","bioacoustics; bush-cricket; stridulation","<p>Guadeloupe, the largest of the Leeward Islands, harbors three species of Pseudophyllinae (Orthoptera: Tettigoniidae) belonging to distinct tribes. This study examined the basic aspects of sound production and acousto-vibratory behavior of these species. As the songs of many Pseudophyllinae are complex and peak at high frequencies, they require high quality recordings. Wild specimens were therefore recorded ex situ. Collected specimens were used in structure-function experiments. Karukerana aguilari Bonfils (Pterophyllini) is a large species with a mirror in each tegmen and conspicuous folds over the mirror. It sings 4&ndash;6 syllables, each comprising 10&ndash;20 pulses, with several peaks in the frequency spectrum between 4 and 20 kHz. The song is among the loudest in Orthoptera (&gt; 125 dB SPL in 10 cm distance). The folds are protective and have no function in song production. Both mirrors may work independently in sound radiation. Nesonotus reticulatus (Fabricius) (Cocconotini) produces verses from two syllables at irregular intervals. The song peaks around 20 kHz. While singing, the males often produce a tremulation signal with the abdomen at about 8&ndash;10 Hz. To our knowledge, it is the first record of simultaneous calling song and tremulation in Orthoptera. Other males reply to the tremulation with their own tremulation. Xerophyllopteryx fumosa (Brunner von Wattenwyl) (Pleminiini) is a large, bark-like species, producing a syllable of around 20 pulses. The syllables are produced with irregular rhythms (often two with shorter intervals). The song peaks around 2&ndash;3 kHz and 10 kHz. The hind wings are relatively thick and are held between the half opened tegmina during singing. Removal of the hind wings reduces song intensity by about 5 dB, especially of the low frequency component, suggesting that the hind wings have a role in amplifying the song.</p>
","Journal Article","Journal of Insect Science","","https://bio.acousti.ca/node/11176"
"11294","article","On certain muscial Curculionidae: with descriptions of two new Plinthi","T. V. Wollaston","","1860","","Annals and Magazine of Natural History","","","","3","6","14-19","","","","","","","","","","","","","https://archive.org/details/cbarchive_52318_oncertainmuscialcurculionidaew1840","https://bio.acousti.ca/sites/default/files/oncertainmuscialcurculionidaew1840.pdf","","","Journal Article","","","https://bio.acousti.ca/node/11294"
"11295","article","Asymmetrical integration of sensory information during mating decisions in grasshoppers","Jan Clemens; Stefanie Krämer","","2014","","Proceedings of the National Academy of Sciences","","","","","","","","","","","","","","","","","","10.1073/pnas.1412741111","","","","Decision-making processes, like all traits of an organism, are shaped by evolution; they thus carry a signature of the selection pressures associated with choice behaviors. The way sexual communication signals are integrated during courtship likely reflects the costs and benefits associated with mate choice. Here, we study the evaluation of male song by females during acoustic courtship in grasshoppers. Using playback experiments and computational modeling we find that information of different valence (attractive vs. nonattractive) is weighted asymmetrically: while information associated with nonattractive features has large weight, attractive features add little to the decision to mate. Accordingly, nonattractive features effectively veto female responses. Because attractive features have so little weight, the model suggests that female responses are frequently driven by integration noise. Asymmetrical weighting of negative and positive information may reflect the fitness costs associated with mating with a nonattractive over an attractive singer, which are also highly asymmetrical. In addition, nonattractive cues tend to be more salient and therefore more reliable. Hence, information provided by them should be weighted more heavily. Our findings suggest that characterizing the integration of sensory information during a natural behavior has the potential to provide valuable insights into the selective pressures shaping decision-making during evolution. ","Journal Article","","","https://bio.acousti.ca/node/11295"
"11296","article","Decision support for the efficient annotation of bioacoustic events","Anthony Truskinger; Paul Roe","","2014","","Ecological Informatics","","","","25","","14-21","","","","","","","","","","","","10.1016/j.ecoinf.2014.10.001","","","annotations; bioacoustics; decision support; Faunal vocalisation; semi-automated; Similarity search","<p>Acoustic sensors allow scientists to scale environmental monitoring over large spatiotemporal scales. The faunal vocalisations captured by these sensors can answer ecological questions, however, identifying these vocalisations within recorded audio is difficult: automatic recognition is currently intractable and manual recognition is slow and error prone. In this paper, a semi-automated approach to call recognition is presented. An automated decision support tool is tested that assists users in the manual annotation process. The respective strengths of human and computer analysis are used to complement one another. The tool recommends the species of an unknown vocalisation and thereby minimises the need for the memorization of a large corpus of vocalisations. In the case of a folksonomic tagging system, recommending species tags also minimises the proliferation of redundant tag categories.</p>

<p>We describe two algorithms: (1) a “naïve” decision support tool (16%–64% sensitivity) with efficiency of O(n) but which becomes unscalable as more data is added and (2) a scalable alternative with 48% sensitivity and an efficiency ofO(log n). The improved algorithm was also tested in a HTML-based annotation prototype. The result of this work is a decision support tool for annotating faunal acoustic events that may be utilised by other bioacous- tics projects.</p>","Journal Article","","","https://bio.acousti.ca/node/11296"
"11297","article","  The songs of the western European  grasshoppers of the genus Stenobothrus in  relation to their taxonomy (Orthoptera:  Acrididae) ","D. R. Ragge","","1987","","Bulletin of the British Museum (Natural History) Entomology","","","","55","2","","","","","","","","","","","","","","https://archive.org/details/bulletinofbritis552brit","","","","Journal Article","","","https://bio.acousti.ca/node/11297"
"11801","article","Patterns and processes underlying evolutionary significant units in the <i>Platypleura stridula</i> L. species complex (Hemiptera: Cicadidae) in the Cape Floristic Region, South Africa","Ben W. Price; N. P. Barker; Martin H. Villet","","2007","","Molecular Ecology","","","","16","","2574-2588","","","","","","","","","","","","10.1111/j.1365-294X.2007.03328.x","","","endemism; phylogeography; plant associations; sea-level change; speciation; vicariance","<p>Cicadas have been shown to be useful organisms for examining the effects of distribution, plant association and geographical barriers on gene flow between populations. The cicadas of the Platypleura stridula species complex are restricted to the biologically diverse Cape Floristic Region (CFR) of South Africa. They are thus an excellent study group for eluci- dating the mechanisms by which hemipteran diversity is generated and maintained in the CFR. Phylogeographical analysis of this species complex using mitochondrial DNA Cytochrome Oxidase I (COI) and ribosomal 16S sequence data, coupled with preliminary morphological and acoustic data, resolves six clades, each of which has specific host-plant associations and distinct geographical ranges. The phylogeographical structure implies simultaneous or near-simultaneous radiation events, coupled with shifts in host-plant associations. When calibrated using published COI and 16S substitution rates typical for related insects, these lineages date back to the late Pliocene &ndash; early Pleistocene, coincident with vegetation change, altered drainage patterns and accelerated erosion in response to neotectonic crustal uplift and cyclic Pleistocene climate change, and glaciation-associated changes in climate and sea level.</p>
","Journal Article","","","https://bio.acousti.ca/node/11801"
"11812","inbook","Stridulation in the Coleoptera – An Overview","Andreas Wessel","","2006","","","Insect Sounds and Communication: Physiology, Behaviour, Ecology, and Evolution","","","","","397-403","30","","CRC Press","","","","","","","","9780849320606","","http://download.naturkundemuseum-berlin.de/andreas.wessel/30_wessel.pdf","","","","Book Chapter","","","https://bio.acousti.ca/node/11812"
"11813","article","Elytro-tergal stridulation in weevils (Insecta: Coleoptera: Curculionoidea)","C.H.C. Lyal; T. King","","1996","","Journal of Natural History","","","","30","5","703-773","","","","","","","","","","","","10.1080/00222939600770391","","","classification; Curculionidae; Curculionoidea; morphology; Platypodidae; Scolytidae; stridulation","Many Curculionidae, Scolytidae and Platypodidae stridulate by rubbing a plectrum on tergite VII against a subapical file on the elytral underside. The file on the right elytron may be smaller than that on the left, or absent; on either elytron it usually comprises a series of parallel ridges. The plectrum generally consists of one or more pair of setiferous tubercles, although other structures are sometimes employed. This stridulatory system (‘type 1’) is found in members of 14 curculionid subfamilies and in Scolytidae. Platypodidae have a similar and probably homologous organ, although the morphology of the file differs somewhat from that found elsewhere and the plectrum is a simple flange. Within Curculionidae three other elytro-tergal stridulatory systems have been found. Firstly, in some Cossoninae and Molytinae, the file is a row of tubercles on tergite VII and the plectrum is a ridge on the elytron (‘type 2’); this is newly reported here. Secondly, females of Ithyporini, some Camptorhinini and some Cryptorhynchini have part of the wing binding patch on tergite VII modified to act as a file, with a plectrum on the elytra (‘type 3’). Thirdly, some Amycterinae have a file of ridges on tergite VII and a plectrum on the elytra (‘type 4’), apparently an autapomorphy of a restricted group of species. In addition, some Curculionidae have a plectrum on the hind femur and a file on the abdominal sternum (some Cryptorhynchinae) or elytron (some Otidocephalinae). Scolytidae have at least three other stridulatory organs: two on the head and one involving the elytra and sternum VIII. Some systematic conclusions are drawn: the clear homology of the type 1 structures in Scolytidae and the majority of the stridulating Curculionidae indicates that the Curculionidae is paraphyletic with respect to the Scolytidae; Scolytidae should therefore be treated as a subfamily of Curculionidae. The structure of the platypodid file and plectrum provide equivocal information and do not aid resolution of the phylogenetic placement of this family. Monophyly of some Ithyporini and Camptorhinini is suggested by the distribution of type 3, but there is insufficient evidence to demonstrate paraphyly of the Cryptorhynchini. The distribution of type 2 does not indicate monophyly of the Cossoninae and Molytinae since the structures in the two are almost certainly homoplastic. All known records of elytro-tergal stridulatory organs in the Scolytidae, Platypodidae and Curculionidae are listed.","Journal Article","","","https://bio.acousti.ca/node/11813"
"11814","article","The Origin Of Stridulation In Beetles","Gilbert J. Arrow","","1942","","Proceedings of the Royal Entomological Society of London. Series A, General Entomology","","","","17","7-9","83-86","","","","","","","","","","","","10.1111/j.1365-3032.1942.tb00508.x","","","","","Journal Article","","","https://bio.acousti.ca/node/11814"
"11815","article","New Stridulatory Structures in a Tiger Beetle (Coleoptera: Carabidae: Cicindelinae): Morphology and Sound Characterization","Artur R. Serrano; Anabela C. Diogo; Emanuel Viçoso; Paulo J. Fonseca","","2003","","The Coleopterists Bulletin","","","","57","2","161-166","","","","","","","","","","","","10.1649/538","","","","The stridulatory mechanism in Oxycheila tristis (Fabricius) (Cicindelinae: Megacephalini) is described. Sound is produced by males and females rubbing the internal edge of the hind femur (plectrum) on the ringed elytral epipleura (pars stridens). The hind legs usually alternate, and sound is mostly generated during backward movement. Abdominal movements seem to play a role in the amplitude modulation of the signals. Temporal characteristics of the sound are slightly different for both sexes (longer leg cycles in females) but the frequency spectra are similar. The same stridulatory structures were found in other Oxycheila species as well as in the closely related Cheiloxya binotata longipennis Horn. Considering the different stridulatory mechanisms described in cicindelids, sound production probably evolved independently at least three times in this group.","Journal Article","","","https://bio.acousti.ca/node/11815"
"11816","article","Stridulation and defensive behaviour in the ground beetle, Cychrus caraboides (L.)","Claridge, M. F.","","1974","","Journal of Entomology Series A, General Entomology","","","","49","1","7 - 15","","","","","","","","","","","","10.1111/phen.1974.49.issue-110.1111/j.1365-3032.1974.tb00062.x","http://doi.wiley.com/10.1111/phen.1974.49.issue-1http://doi.wiley.com/10.1111/j.1365-3032.1974.tb00062.x","","","Adults of both sexes of C.caraboides stridulate by means of an elytroabdominal mechanism. The stridulatory surfaces consist of opposing series of microlamellae, only seen clearly with the surface scanning electron microscope. Sound emission covers a wide band of frequencies from audible to about 80 kHz. It is suggested that stridulation may act as an acoustic warning to certain vertebrate predators.","Journal Article","","","https://bio.acousti.ca/node/11816"
"11817","article","X. Stridulating Organs in Coleoptera","Gahan, Charles J.","","1900","","Transactions of the Royal Entomological Society of London","","","","48","3","433 - 452","","","","","","","","","","","","10.1111/j.1365-2311.1900.tb01002.x","http://doi.wiley.com/10.1111/j.1365-2311.1900.tb01002.x","","","","Journal Article","","","https://bio.acousti.ca/node/11817"
"11818","article","On the functions of stridulation by the passalid beetle Odontotaenius disjunctus (Coleoptera: Passalidae)","Buchler, E.R.; Wright, T.B.; Brown, E.D.","","1981","","Animal Behaviour","","","","29","2","483 - 486","","","","","","","","","","","00033472","10.1016/S0003-3472(81)80108-X","http://linkinghub.elsevier.com/retrieve/pii/S000334728180108X","","","Crows (Corvus brachyrhynchos) are more hesitant to continue attacking and take longer to kill and eat stridulating passalid beetles (Odontotaenius disjunctus) than silenced beetles. This is an experimental demonstration of the deterrent capability of disturbance stridulation by an insect that has no active defences against the predator. Stridulation is not necessary for congregation by colony members. Silenced beetles congregate as effectively as controls. There is no evidence that the disturbance stridulation causes predictable responses in other colony members of this presocial beetle.","Journal Article","Animal Behaviour","","https://bio.acousti.ca/node/11818"
"11819","article","Stridulation variability and morphology: an examination in dung beetles of the genus Trypocopris (Coleoptera, Geotrupidae)","Carisio, Loredana; Palestrini, Claudia; Rolando, Antonio","","2004","","Population Ecology","","","","46","1","","","","","","","","","","","","1438-3896","10.1007/s10144-004-0170-3","http://link.springer.com/10.1007/s10144-004-0170-3http://www.springerlink.com/index/pdf/10.1007/s10144-004-0170-3","","","Distress signals produced by dung beetles of the genus Trypocopris (Coleoptera, Geotrupidae) were analysed to test whether interspecific and intraspecific acoustic variability are species- and subspecies-specific and to ascertain to what extent bioacoustic parameters depend upon the morphology of the stridulatory organs (pars stridens). Bioacoustic analyses showed that the three species were clearly differentiated, despite the fact that disturbance stridulations presented the same stereotyped spectrographic pattern. Within each species, most of the subspecies and populations considered were also bioacoustically distinguishable. Subspecies and populations within each species were differentiated with regard to body size and stridulatory organ, and the length of the pars stridens was positively correlated with the width of the coxa, in turn positively correlated with body size. A few spectrographic measures were significantly constrained by the morphology of the stridulatory apparatus; in particular the duration of sound emission was positively correlated with the length of the apparatus and the sub-pulse rate was negatively related to the distance between two consecutive crests. For T. pyrenaeus, with the largest number of populations sampled, there was no significant correlation between morphological and spectrographic distances, but there were significant positive correlations between morphological and geographical distances and between morphological and genetic distances. It is hypothesized that genetic differentiation might directly affect variability of the stridulatory apparata which would also be indirectly influenced and constrained by external morphological traits (like the width of the coxa and body size). Stridulatory organs, in turn, would affect the ways a few stridulatory traits (especially the temporal ones) change in time and space.","Journal Article","Popul Ecol","","https://bio.acousti.ca/node/11819"
"11821","article","Organs of Possible Stridulatory Function in Water-Beetles (Coleoptera: Dytiscidae)","D. J. Larson; G. Pritchard","","1974","","The Coleopterists Bulletin","","","","28","2","53-63","","","","","","","","","","","","","http://www.jstor.org/stable/3999643","","","","Journal Article","","","https://bio.acousti.ca/node/11821"
"11865","article","Acoustic behaviour of both sexes of the speckled bush cricket <em>Leptophyes punctatissima</em>","Hartley, J. C.; Robinson, D. J.","","1976","","Physiological Entomology","","","","1","1","21 - 25","","","","","","","","","","","0307-6962","10.1111/j.1365-3032.1976.tb00882.x","http://doi.wiley.com/10.1111/j.1365-3032.1976.tb00882.x","","","<p>As in other phaneropterine bush-crickets, both male and female Leptophyes punctatissima can stridulate. Stridulation in the female, which had previously been overlooked, occurs in response to the male call. The main frequency of the very brief chirps is around 40 kHz. The male is stimulated to chirp more frequently by receiving response chirps from the female. Unlike most Tettigoniidae the male moves toward the female and is thus dependant on her response signal. Communication can occur over distances of at least 5 m. Some structures involved in stridulation in the female differ from that described in other phaneropterines. The insects used in these experiments were all reared in the laboratory from wild-caught parents. Between forty and fifty different insects were used at various times for laboratory studies on the song, and four different males and three females were used on the field communication experiments. The sexes were kept separate from the moult to adult or for at least 10 days before experiments.</p>
","Journal Article","Physiol Entomol","","https://bio.acousti.ca/node/11865"
"11903","article","Characterization and Generation of Male Courtship Song in Cotesia congregata (Hymenoptera: Braconidae)","Bredlau, Justin P.; Mohajer, Yasha J.; Cameron, Timothy M.; Kester, Karen M.","Zeil, Jochen","2013","","PLoS ONE","","","","8","4","e62051","","","","","","","","","","","","10.1371/journal.pone.0062051","","","","<p>Male parasitic wasps attract females with a courtship song produced by rapid wing fanning. Songs have been described for several parasitic wasp species; however, beyond association with wing fanning, the mechanism of sound generation has not been examined. We characterized the male courtship song of Cotesia congregata (Hymenoptera: Braconidae) and investigated the biomechanics of sound production. Courtship songs were recorded using high-speed videography (2,000 fps) and audio recordings. The song consists of a long duration amplitude-modulated &ldquo;buzz&rdquo; followed by a series of pulsatile higher amplitude &ldquo;boings,&rdquo; each decaying into a terminal buzz followed by a short inter-boing pause while wings are stationary. Boings have higher amplitude and lower frequency than buzz components. The lower frequency of the boing sound is due to greater wing displacement. The power spectrum is a harmonic series dominated by wing repetition rate ~220 Hz, but the sound waveform indicates a higher frequency resonance ~5 kHz. Sound is not generated by the wings contacting each other, the substrate, or the abdomen. The abdomen is elevated during the first several wing cycles of the boing, but its position is unrelated to sound amplitude. Unlike most sounds generated by volume velocity, the boing is generated at the termination of the wing down stroke when displacement is maximal and wing velocity is zero. Calculation indicates a low Reynolds number of ~1000. Acoustic pressure is proportional to velocity for typical sound sources. Our finding that the boing sound was generated at maximal wing displacement coincident with cessation of wing motion indicates that it is caused by acceleration of the wing tips, consistent with a dipole source. The low Reynolds number requires a high wing flap rate for flight and predisposes wings of small insects for sound production.</p>
","Journal Article","PLoS ONE","","https://bio.acousti.ca/node/11903"
